1,1163,2,5119,354,16,732,8,3478,849,444,18,25,1860,125,952,6392,48,448,103
13201,12569,54,69,8,309,0,1163,858,123,8019,128,34,1473,2,342,1463,4205,838,171
25,41,366,2867,487,6083,6934,18,2540,57,3091,8913,11357,3866,1163,4036,13946,952,2876,75
15,282,17,6,57,56,444,317,825,4,23,44,271,48,336,129,527,27,187,24
23,15,121,34,57,849,6,67,24,42,8,403,26,32,117,373,27,28,451,36
85,5345,6928,60,32,182,133,34,849,124,42,28,403,329,10511,6,739,248,2649,8243
15,57,849,23,24,403,34,4,27,56,42,117,3,282,32,8,26,737,121,444
9222,11221,3343,8871,8606,14194,8127,3174,78,14301,7981,92,6890,8904,12788,6535,3173,4306,7470,211
34,849,121,373,42,403,28,24,57,451,32,12,26,117,4,23,6,5126,6522,2608
1063,910,2175,4237,139,3262,11221,299,45,8871,669,1860,1117,349,3342,905,230,266,4471,14194
3535,3174,444,8871,2753,1163,66,952,18,13532,447,575,1300,1860,7893,1463,1305,4399,5999,7981
38,33,46,48,58,59,65,259,1141,64,11942,35,6,57,19,3797,20,825,71,357
26,40,34,32,23,373,8,849,42,28,403,451,24,121,6522,4,6640,2608,737,320
149,9328,5013,2673,241,1750,1426,3453,447,6392,3728,5048,2477,11674,905,3061,9730,12719,14232,8193
14734,875,7639,4348,1005,4584,237,13904,7368,6689,6265,14533,3011,5075,3561,3173,11221,3818,7318,4606
6,57,3,4,282,23,24,17,56,849,27,34,117,26,42,121,403,444,737,32
834,332,2929,263,2995,3554,0,4467,1,13147,125,3656,2586,328,29,1497,309,11221,145,18
15,3,282,6,57,56,444,4,317,1163,153,48,527,271,23,44,20,825,336,27
366,2,25,952,288,57,125,8127,444,1163,6,430,285,41,266,92,156,849,3850,1471
35,20,179,147,71,4767,48,46,12601,2327,76,373,11942,575,11,59,6,57,1163,7981
35,19,179,147,71,48,584,317,4767,11942,57,6,444,1163,156,15,65,282,58,27
70,6135,220,3141,3789,210,7592,12032,300,355,236,22,943,1163,1915,45,266,481,783,30
2332,10435,11221,4429,381,11278,4377,14553,9934,3009,4617,21,10364,366,3367,81,4306,8871,935,331
4,6,15,57,32,34,849,26,24,12,42,8,40,117,121,403,737,27,373,28
34,6,15,121,67,32,403,849,42,23,26,8,4,57,373,117,27,28,6522,5126
2,6934,366,6083,41,13946,18,4695,2876,5372,75,57,6,3979,2867,4554,1163,3091,849,32
12,40,34,32,23,24,373,42,849,8,403,4,6,15,57,121,28,67,117,27
737,6,15,34,42,24,57,849,403,32,4,121,8,23,26,117,28,373,317,156
34,403,373,849,42,8,32,24,12,26,121,57,351,4,48,6,117,737,451,6522
1463,616,7533,707,94,8428,309,1746,9014,125,5213,6392,5369,5099,203,1364,8307,293,575,9506
7086,119,8357,3189,13340,355,6467,5820,5165,9687,5987,210,181,7778,6514,2652,4228,11118,7592,378
88,199,112,163,7245,5530,125,4306,555,200,1564,11172,758,6656,5048,3173,791,8970,273,501
34,121,57,26,40,42,23,6522,67,12,952,24,68,849,403,154,132,133,8,83
38,58,11,59,48,65,46,64,259,1141,694,179,35,11942,20,6,366,351,57,19
849,8,121,373,42,403,32,24,28,12,26,57,2608,737,4,10911,23,6522,117,6
20,19,179,147,71,4767,584,11942,48,259,46,1141,11,12601,65,33,38,444,344,59
67,6522,34,42,373,32,4,7349,24,849,952,355,8,403,28,1426,5126,6293,6064,26
430,412,328,739,50,178,351,1827,18,156,1520,75,6154,7296,3872,130,2,592,9285,366
33,11,58,48,59,46,65,259,1141,64,11942,357,403,35,28,6,179,351,20,57
82,562,42,6522,9227,451,11832,34,13770,28,373,8,849,12460,403,117,320,32,737,57
12,26,32,34,23,24,373,42,403,849,28,27,737,8,4,451,121,6,117,57
2,366,25,4554,2867,2876,487,4386,920,4464,328,642,10445,6934,18,3091,12981,75,3979,6083
82,6522,34,39,849,562,121,32,403,373,8,28,24,117,169,6,26,4,23,737
4853,11892,187,333,1799,51,66,12723,403,110,18,9446,527,2778,952,8463,57,79,444,575
105,254,791,425,15,282,550,57,6,56,3,444,805,527,825,4,271,23,187,431
6943,1325,366,415,4566,220,9489,1902,6216,9830,21,978,1407,3281,236,1860,1312,10301,266,300
48,11,58,38,33,59,65,259,1141,64,179,11942,35,488,19,7602,8790,596,344,672
