1165,809,85,10687,10727,12440,944,14463,3754,367,13477,531,7460,4479,14929,2393,4441,274,3552,3089
2269,877,2720,5531,7549,19,14341,5275,1283,11830,6679,52,8648,3097,2517,3175,14876,4639,9472,13420
1580,4360,315,1633,31,848,207,1792,580,2057,7939,2377,1364,14588,2941,9294,6447,2080,1544,26
1390,2062,47,375,10309,14828,1559,1635,1061,71,309,13034,2038,3525,118,2540,7020,86,11760,880
6364,1657,423,131,3456,123,199,3177,1685,309,401,2246,14864,658,586,2174,13994,5796,2015,152
1438,87,2435,5199,14588,7471,1051,351,1707,1430,1866,3451,123,109,8989,972,13581,1917,863,2
9442,6072,14795,4677,3755,3335,7140,12956,852,2409,3085,6865,12860,14286,14907,9099,11634,7566,13421,8139
5275,3416,10275,6610,54,8064,170,4082,8363,604,1025,8170,5657,9142,2736,5345,291,1446,131,8006
1887,1930,7521,6040,6714,488,413,9142,420,13633,1033,1951,9184,11287,1569,7302,4947,249,4086,13061
10133,557,791,9225,12259,3644,73,1042,3456,2500,488,4976,321,822,23,174,9755,8735,534,1556
13202,7300,62,123,3414,199,303,2162,1014,11212,3456,163,131,13074,109,376,313,9860,152,4108
153,1597,4664,814,3363,6397,1438,2214,9006,14526,12102,6775,11170,11855,6735,6781,103,9921,7343,1430
10895,3148,110,10751,14212,2460,13941,52,1559,12880,14767,2464,4017,547,9,503,14771,3468,8416,6447
6919,1329,1306,275,4610,251,2487,5450,165,1489,854,80,5150,249,6414,9685,2993,274,5682,8211
141,6595,267,7895,499,402,482,1274,3914,2784,567,1406,1639,2062,79,13061,7864,1279,14846,3144
9658,13275,5045,980,12058,14007,64,102,14142,795,289,12798,10548,5736,348,12039,239,179,5953,615
539,374,239,897,9094,926,604,11467,2913,8331,10834,14015,766,29,728,4394,4801,13174,13222,9665
880,71,8345,1627,3092,3611,14929,4051,1465,7177,5752,11757,580,10460,174,641,401,376,3468,6438
6543,4196,355,202,13204,7698,10906,12358,12879,5251,12102,14805,1625,165,2383,1324,2736,11074,14856,150
2720,1535,6363,6679,7549,1740,2676,10077,5531,5275,1283,8648,1865,1928,11958,3715,864,1378,14876,7021
3611,1496,390,1123,1627,2001,1343,4575,7668,17,71,664,2435,6256,3433,14929,4581,202,13398,11138
980,2738,367,529,6626,6855,1579,547,534,11948,641,8170,11287,11801,13061,5655,305,788,6595,12325
113,1406,4832,1355,7130,1509,5657,9920,2340,3485,109,10551,1430,1185,25,6315,3813,1946,7259,8854
4446,557,14725,7296,9,9270,10145,3618,73,6702,7146,573,666,98,5371,1892,11394,9360,1644,8497
134,5273,39,8625,8882,1377,11551,529,217,1981,306,2318,305,1035,244,1799,4965,6602,2174,13061
3954,2712,4108,22,4661,14828,11315,279,1430,10309,3456,5274,5206,1896,4935,2241,10856,113,3384,258
290,1633,2858,2,9061,7939,1784,10416,580,481,13581,3638,4273,1778,4647,207,17,14907,13873,2057
6437,8170,1438,5145,2505,7756,8385,14712,3456,14487,1446,7443,7037,471,2736,239,12018,14804,13011,9204
1550,2,3611,1734,443,20,2057,6078,2246,14946,1778,17,664,2377,34,26,9826,580,1544,12327
14015,11549,10328,14313,1855,12348,9120,4831,12502,16,12936,7906,12793,14270,11671,2684,6109,8875,8481,14526
615,788,2445,13386,1729,1383,14007,13161,12918,46,7223,7352,11551,1466,702,944,4196,8469,6712,6589
4055,1158,9447,10375,2936,11128,2,2033,14289,14856,3638,4879,1633,1241,7939,8735,14588,908,6602,13581
8103,4406,450,7344,8,12256,13633,6040,13823,1074,5335,604,4317,13003,1849,392,9380,9696,7994,100
2207,1446,2118,13709,14526,13061,5657,10416,9142,1592,9594,11287,13400,615,13581,9257,59,9449,529,11284
1579,14864,13091,2827,833,2068,13994,1060,13558,12060,3695,2681,2067,702,4871,10094,382,2628,1964,6211
123,152,62,109,163,131,2924,376,423,11632,1438,10,199,1331,1051,313,3456,252,5199,4906
10325,2048,3168,2452,944,9915,11993,362,7850,788,9103,8667,8111,14131,1475,7630,3009,8608,303,5895
8018,3654,3525,13140,275,4956,9126,1271,9244,8222,3534,3340,14828,3917,7559,1405,10309,6718,9594,3745
538,2029,149,216,457,594,414,870,1580,12107,140,17,8470,3092,909,1660,841,7259,1505,174
5273,134,14402,14007,24,8277,11289,3556,799,5844,9722,13449,6008,631,1012,8483,14929,7562,6245,14792
2342,3192,1693,105,2505,4037,406,7707,290,1639,13487,12695,3148,501,982,2062,6657,14297,11453,250
3648,11709,1159,2114,1454,12793,2538,2214,1326,10358,4805,2008,2238,1235,2305,1153,1614,2264,2089,10596
270,2241,5865,131,293,7101,87,11757,4030,14423,4629,683,3186,837,10216,6447,5280,1509,7679,14833
2526,1507,3267,2440,1816,7349,348,70,4766,3564,11447,1094,1660,13849,11088,794,6059,436,5978,1180
698,2042,1835,1324,2591,3322,1492,3525,1813,14912,3864,3599,8395,10699,2394,11041,2280,348,5968,5450
4871,12918,7171,12956,2546,7754,14795,6231,7727,3061,9797,8705,1085,702,2827,3038,14463,3148,1981,5451
3061,2569,4894,2669,11551,14929,3480,99,235,1383,569,10133,12918,6566,12813,8578,1035,14901,702,10250
1390,3,2062,3092,869,375,1184,6679,317,3525,7960,9848,17,71,6078,4494,13114,1223,684,586
8395,14606,2278,326,1485,2858,10802,380,144,14769,1835,2847,788,13337,4846,1592,1399,529,3732,5655
1431,10133,244,1286,377,798,306,829,3270,2324,4976,1570,107,3698,2778,1475,529,134,797,1099
5102,10298,11857,8767,12016,14487,9104,604,2736,333,1549,9743,1508,11342,4360,12076,6171,2260,12046,436
14674,374,6226,407,13581,4038,14526,14588,1776,2364,10906,6999,12880,14856,12787,4323,8474,1898,608,10256
14147,14341,1,4611,9594,2194,2591,9339,11917,10801,8170,641,12,663,4019,2684,11664,3280,846,11472
12013,11789,1370,8919,2512,14842,239,11801,13061,71,8170,9006,13202,1446,367,5602,14273,459,14334,8395
8421,563,7089,1540,930,14270,2316,168,7,3525,3456,2062,903,11673,11900,748,2616,10521,6610,59
10635,4752,5737,5877,3764,5007,3344,8496,2513,13776,5473,1185,8467,12627,3812,8138,6858,11045,3096,10954
2937,10523,2359,1738,12793,3573,1512,11709,4580,13697,14215,4634,3532,19,3486,4805,1153,6982,8113,8006
4915,1939,4562,10810,14836,4027,13909,1130,13709,5865,14286,291,2526,6059,2843,11151,5150,12880,12545,17
569,108,190,46,99,11339,14737,10050,550,12456,12899,11238,6865,1962,11914,9485,2669,8059,11551,6634
6584,13545,413,291,12377,351,9060,6248,6509,8170,534,14376,4695,2071,4947,10521,5498,8767,13003,926
8779,635,10383,323,7362,12918,5197,3315,11238,305,382,3148,2062,8059,13021,306,45,8625,702,4498
144,302,1540,220,777,720,10521,147,8064,10727,3491,1769,367,339,14911,2591,7089,4460,312,348
123,199,152,35,131,163,10,109,960,7303,376,318,423,2162,3456,2924,14748,367,313,3148
8385,5752,734,8345,11660,4323,17,8064,3760,5012,21,10460,10374,464,3189,367,1951,12489,2540,1033
403,1090,1633,13074,3456,5024,204,980,10823,14912,4783,2485,12771,1750,10416,12627,8474,13202,3312,9092
291,1005,1364,591,3974,2547,5393,1512,12469,4562,1784,2909,4711,2843,436,826,12936,10888,5150,1778
10134,11366,1466,2377,12840,5510,14654,13581,6121,1911,3907,17,1973,11790,1670,7333,2360,8639,9383,2627
11553,14836,6226,4378,1849,802,7413,1391,4772,407,6712,14859,8170,374,1738,4281,51,5448,8875,4529
7741,13061,1446,8170,13334,11287,1035,2258,380,529,5227,71,9591,2168,581,1292,9257,5796,11511,743
163,551,3456,26,960,401,318,270,62,406,481,40,131,4383,982,11551,10309,7866,687,763
1507,1816,43,12166,7835,2440,7119,6059,436,7349,3343,13581,3309,3165,746,1929,5653,7996,2185,1008
4055,17,367,1446,13061,1627,12013,8395,970,7759,2318,571,2062,79,2278,4299,5655,3089,529,788
1788,508,1685,13415,9270,13823,7707,207,239,3847,11589,423,3607,2526,663,4733,2403,1649,7866,7641
1892,666,6860,2229,11757,1580,11055,557,9,2500,10811,809,534,869,1644,7679,85,141,936,11182
428,156,1051,11088,8413,10834,7939,9257,4288,10760,1223,2717,10602,12723,8004,7956,14921,13204,3532,1829
953,7101,1796,6519,14383,3174,760,12599,12899,2858,3912,5959,8321,3456,7374,1549,3755,151,11138,7912
1851,4305,5361,303,984,429,529,10731,534,5227,1666,3992,4864,8791,8170,7599,1143,17,13412,11914
184,809,2505,367,250,40,1692,85,406,6865,6171,3270,6712,633,7347,4514,5582,2258,4360,14339
7733,13417,351,622,590,12058,13452,651,725,11644,8869,14335,14890,396,2594,5412,8804,14005,14506,12559
1981,2863,71,12918,1085,14,9591,1382,3148,2874,5508,2289,13061,593,2736,3507,3089,3270,6829,4504
3409,2354,4041,156,2993,2943,104,13823,4629,13,1331,575,7514,1213,6747,249,13362,6072,9270,312
2362,1939,2354,575,884,1295,365,146,6009,392,14443,1213,13643,6386,167,11282,6876,11393,6428,2943
1778,11566,11613,4275,2394,11657,10633,4472,11283,3770,8395,11151,1051,1649,7939,348,26,5968,4473,13051
5461,2,14588,6664,274,31,7939,317,1633,3755,1435,351,645,315,12880,318,26,11115,580,12840
14493,2718,386,2091,2140,3841,2357,11792,949,1190,112,2978,241,4764,5655,11511,4812,122,6610,13994
9210,2023,3270,8900,11182,608,8570,809,6171,2428,423,501,4514,11551,3148,402,2062,2787,7030,1011
6732,4046,4876,10521,2023,4530,7159,6865,13248,975,4575,1493,13028,11749,11384,5515,3442,6239,10452,1898
1438,5,2435,11757,123,4121,3089,7679,1051,3711,5199,11515,42,10927,199,109,17,309,4038,1580
777,144,711,160,220,2354,809,5777,1786,3456,424,6905,61,13063,8965,4629,6072,2496,302,7895
4931,13994,4147,9207,2681,327,6657,11138,5655,8170,663,798,14864,14929,8625,49,8952,1377,244,12325
4623,125,1346,12736,1976,2194,13011,4472,13873,3451,458,8981,3100,8735,3726,2353,9398,869,2808,1446
10400,441,6602,290,2,14526,374,377,3638,4894,9826,11551,6513,14233,4149,4499,12647,2097,13442,949
423,4517,4575,10019,131,13575,10142,6147,9702,199,5183,7782,9225,9204,3749,8543,7878,14195,971,3456
3104,754,3420,2438,3386,2743,2326,8043,1917,3855,1416,1190,2660,5863,1808,2734,1142,2137,3132,2699
113,261,6824,1430,13477,2887,818,22,8170,1446,79,68,3148,505,12918,199,2736,2780,239,2340
154,14219,4196,5171,4567,9042,12440,4611,4441,2228,14005,6813,809,1198,5796,14960,6079,0,9309,9061
5853,265,11947,11673,13011,10764,14392,435,11828,7166,578,10727,7912,13080,11729,2152,4296,1437,10529,12955
13076,11545,4041,11064,1685,13170,14015,1649,9142,351,7344,13823,4108,7709,7296,5009,11283,13011,13103,9457
557,430,1753,305,129,187,361,17,6610,4051,8170,1383,9351,5717,23,2071,5758,5454,9,2097
190,10620,46,8890,569,7229,2858,1784,13923,6652,3914,5523,1399,11052,9931,14792,8059,1085,1057,14392
948,8756,14526,2351,300,2800,4480,287,11928,4412,13786,1438,276,1939,1553,14487,436,8095,851,13708
3089,13872,1939,144,13573,9204,14248,6817,8152,11759,5104,374,7081,370,8370,9322,2271,3755,13061,12607
7362,1976,7789,8033,2174,980,3148,4212,3456,174,11157,239,6438,367,6171,2888,13076,2270,85,1844
